instance_name,X_0,X_1,X_2,X_3,action,epsilon,X_0,X_1,X_2,X_3
cartpole_case_safe_14.vnnlib,-0.24800654999999999228,-0.05067262799999999734,-0.07390802999999999956,-0.38639994999999999203,0,0.03,0,0,0,0
cartpole_case_safe_27.vnnlib,-0.24485323999999999978,0.14171484000000000858,-0.05324168499999999693,-0.61850360000000004224,0,0.03,0,0,0,0
cartpole_case_safe_39.vnnlib,-0.25867825999999999320,-0.24693656999999999413,-0.04908843000000000234,-0.06764945399999999776,1,0.03,1,0,1,0
cartpole_case_safe_45.vnnlib,-0.05000000000000000278,-0.05000000000000000278,0.00000000000000000000,0.00000000000000000000,1,0.03,0,0,0,0
cartpole_case_safe_46.vnnlib,-0.04129267999999999827,0.53544736000000003884,-0.01756097599999999898,-0.87988699999999997470,0,0.03,0,0,0,0
cartpole_case_safe_47.vnnlib,-0.03334291000000000338,-0.62957567000000003166,-0.04847156999999999855,0.75153594999999995263,1,0.03,0,0,1,0
cartpole_case_safe_48.vnnlib,-0.01887501999999999930,-0.04693759200000000020,-0.06077673299999999945,-0.06766911000000000453,0,0.03,0,0,1,0
cartpole_case_safe_49.vnnlib,-0.05099999999999999672,0.14512194999999999956,0.00000000000000000000,-0.29268292000000001307,1,0.03,0,0,0,0
cartpole_case_safe_50.vnnlib,-0.02182256800000000052,0.14737745999999998792,-0.05391926300000000200,-0.34287349999999999772,0,0.03,0,0,1,0
cartpole_case_safe_51.vnnlib,-0.05461082200000000331,-0.23824122999999999828,-0.02456080500000000152,0.14096834999999999227,1,0.03,0,0,1,0
cartpole_case_safe_52.vnnlib,-0.03058373199999999889,0.34056832999999997469,-0.03515871599999999958,-0.59277619999999997535,0,0.03,0,0,0,0
cartpole_case_safe_53.vnnlib,-0.25584881999999997682,0.33833446999999999827,-0.06135604999999999531,-0.94483010000000000606,0,0.03,0,0,0,0
cartpole_case_safe_54.vnnlib,-0.24307144999999999446,-0.24675472000000001072,-0.07247281999999999336,-0.07176051999999999431,0,0.03,1,0,1,0
cartpole_case_safe_55.vnnlib,-0.24022739000000001286,-0.05101018000000000219,-0.08506942500000000407,-0.37925172000000001438,0,0.03,0,0,0,0
cartpole_case_safe_56.vnnlib,-0.24201895000000001046,-0.05262457999999999719,-0.06561176000000000508,-0.34305316000000002363,0,0.03,0,0,0,0
cartpole_case_safe_57.vnnlib,-0.27929209999999998759,-0.05299790000000000056,-0.02557906999999999889,-0.33424070000000000169,1,0.03,0,0,1,0
cartpole_case_safe_58.vnnlib,-0.25329267999999999228,-0.05479556700000000335,-0.01756097599999999898,-0.29453259999999997776,1,0.03,0,0,0,0
cartpole_case_safe_59.vnnlib,-0.24485323999999997202,-0.24846599999999996466,-0.05324168499999999693,-0.03387898599999999982,1,0.03,1,0,1,0
cartpole_case_safe_60.vnnlib,0.41173707999999997753,-0.68754890000000001837,0.10587071600000000360,0.93054353999999994684,1,0.03,0,0,0,0
cartpole_case_safe_61.vnnlib,-0.25581375000000000641,-0.44113794000000000617,-0.06213011599999999912,0.20523616999999999555,1,0.03,1,0,1,0
cartpole_case_safe_62.vnnlib,-0.24982255999999997131,-0.05262256800000000151,-0.05391926300000000200,-0.34287349999999999772,0,0.03,0,0,1,0
