instance_name,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,action,epsilon,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7
lunarlander_case_safe_0.vnnlib,-0.87614875999999997092,0.04650865499999999597,1.38325100000000000833,-0.39965063000000000670,-0.40887525999999996262,-0.00000000153337380293,1.00000000000000000000,1.00000000000000000000,1,0.5,0,0,0,0,0,0,0,0
lunarlander_case_safe_1.vnnlib,-0.86896620000000002193,0.04183932400000000412,1.55424809999999991028,-0.44905534000000002504,-0.40887499999999998845,-0.00000000732687779892,1.00000000000000000000,1.00000000000000000000,1,0.5,0,0,0,0,0,0,0,0
lunarlander_case_safe_10.vnnlib,-0.88423616000000004878,0.05176599999999999258,0.99463069999999997872,-0.28737000000000001432,-0.40887529999999999708,-0.00000000523489200599,1.00000000000000000000,1.00000000000000000000,1,0.5,0,0,0,0,0,0,0,0
lunarlander_case_safe_11.vnnlib,-0.68462239999999996432,0.07501259400000000188,0.02868063399999999652,-0.02947492200000000062,-0.09943159999999999499,-0.05671153199999999506,1.00000000000000000000,1.00000000000000000000,0,0.5,1,0,1,1,1,1,0,0
lunarlander_case_safe_12.vnnlib,-0.00451021194458008090,0.20000000000000001110,-0.45685558319091801316,-0.02964135408401490090,0.00523304101079702377,0.10348460674285889227,0.00000000000000000000,0.00000000000000000000,3,0.5,0,0,1,1,0,0,0,0
lunarlander_case_safe_13.vnnlib,-0.68465759999999997731,0.07502854600000000151,0.02859794699999999856,-0.02906515999999999961,-0.05288115499999999913,-0.05658541000000000265,1.00000000000000000000,1.00000000000000000000,0,0.5,0,0,1,1,1,1,0,0
lunarlander_case_safe_14.vnnlib,0.00344953536987304896,0.20000000000000001110,0.34938514232635498047,0.03414210081100464700,-0.00399036146700382233,-0.07914091944694519321,0.00000000000000000000,0.00000000000000000000,1,0.5,0,0,1,1,1,1,0,0
lunarlander_case_safe_15.vnnlib,0.00542650222778320521,0.20000000000000001110,0.54962902069091801316,-0.01645375291506449844,-0.00628114910796284676,-0.12449902296066284180,0.00000000000000000000,0.00000000000000000000,1,0.5,0,0,1,1,0,0,0,0
lunarlander_case_safe_17.vnnlib,0.00568380355834960382,0.20000000000000001110,0.57570810317993159622,-0.09911883672078450336,-0.00657947175204753876,-0.13040647506713867743,0.00000000000000000000,0.00000000000000000000,1,0.5,0,0,1,1,0,1,0,0
lunarlander_case_safe_18.vnnlib,0.00676927566528320868,0.20000000000000001110,0.68563122749328608840,0.15014828046162922992,-0.00783703476190567017,-0.15530556440353393555,0.00000000000000000000,0.00000000000000000000,1,0.5,0,0,0,0,0,0,0,0
