instance_name,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,action_1,action_2,epsilon,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7
dubinsrejoin_case_safe_0.vnnlib,-0.07363293859864659952,0.19469125193023273379,-0.56519762228548264815,0.10323546068735954540,0.49999999999999988898,0.00000000000000004163,0.32498538038295438080,-0.37997960805462499545,0,4,1.0,1,0,1,1,1,1,1,1
dubinsrejoin_case_safe_1.vnnlib,-0.07363293859864661339,0.19469125193023273379,-0.56519762228548264815,0.10323546068735955927,0.49999999999999983347,0.00000000000000004163,0.32498538038295438080,-0.37997960805462499545,0,4,1.0,1,0,1,1,1,1,1,1
dubinsrejoin_case_safe_10.vnnlib,-0.03461946895673485847,-0.30683922824600984303,-0.47351959370157314932,-0.54635265271104627161,0.50000000000000000000,0.00000000000000000000,0.42687477250654110028,-0.26034194552067235762,0,4,1.0,1,0,1,1,1,1,1,1
dubinsrejoin_case_safe_12.vnnlib,-0.30131731818962803615,0.39900861364012013555,0.00000000000000000000,0.00000000000000000000,-0.90992272260193041156,0.00000000000000000000,-0.40606036725711625035,0.21929991581947202994,3,7,1.0,0,1,1,1,0,1,1,1
dubinsrejoin_case_safe_13.vnnlib,-0.16323373153374104438,-0.55240452109030246941,-0.61744815271367348153,-0.34338476223439362567,0.50000000000000000000,0.00000000000000000000,0.05068068974289267892,-0.54745104956986856415,0,4,1.0,1,0,1,1,1,1,1,1
dubinsrejoin_case_safe_14.vnnlib,-0.30131731818962803615,0.39900861364012013555,0.00000000000000000000,0.00000000000000000000,-0.90992272260193041156,0.00000000000000000000,-0.40606036725711619484,0.21929991581947202994,3,7,1.0,0,1,1,1,0,1,1,1
dubinsrejoin_case_safe_15.vnnlib,0.35355339059327367535,-0.35355339059327367535,0.00000000000000000000,0.00000000000000000000,0.21765587972365879610,0.00000000000000001388,0.74789700964447991538,-0.51851616647479881195,0,7,1.0,1,0,1,1,1,1,1,1
dubinsrejoin_case_safe_16.vnnlib,0.16399509231212502924,-0.30307281189447543568,-0.31837358589596648217,-0.17146559976771602596,0.50000000000000000000,0.00000000000000002776,0.12720915008102592902,-0.48354713538150861929,0,4,1.0,0,1,1,1,1,1,1,1
dubinsrejoin_case_safe_17.vnnlib,0.13751439369857512696,-0.28369652855700311367,-0.32807959242095258157,-0.10142683801759222462,0.50000000000000000000,0.00000000000000005551,0.07494681071270528627,-0.49435106509847215328,0,4,1.0,0,1,1,1,1,1,1,1
dubinsrejoin_case_safe_3.vnnlib,-0.30131731818962803615,0.39900861364012013555,0.00000000000000000000,0.00000000000000000000,-0.90992272260193030053,0.00000000000000000000,-0.40606036725711619484,0.21929991581947202994,3,7,1.0,0,1,1,1,0,1,1,1
